,Date,Phase,Team_home,Team_home_short,Team_visitor,Team_visitor_short,World_Cup,Team_home_penalties_score,Team_visitor_penalties_score,Team_home_score,Team_visitor_score,Result,Result_with_penalties
222,2002-06-11,Group A,Senegal,SEN,Uruguay,URU,Korea/Japan-2002,0,0,3,3,Draw,Draw
223,2002-06-11,Group E,Saudi Arabia,KSA,Republic of Ireland,IRL,Korea/Japan-2002,0,0,0,3,Loss,Loss
224,2002-06-11,Group E,Cameroon,CMR,Germany,GER,Korea/Japan-2002,0,0,0,2,Loss,Loss
225,2002-06-12,Group F,Sweden,SWE,Argentina,ARG,Korea/Japan-2002,0,0,1,1,Draw,Draw
226,2002-06-12,Group F,Nigeria,NGA,England,ENG,Korea/Japan-2002,0,0,0,0,Draw,Draw
227,2002-06-12,Group B,Slovenia,SVN,Paraguay,PAR,Korea/Japan-2002,0,0,1,3,Loss,Loss
228,2002-06-12,Group B,South Africa,RSA,Spain,ESP,Korea/Japan-2002,0,0,2,3,Loss,Loss
229,2002-06-13,Group C,Costa Rica,CRC,Brazil,BRA,Korea/Japan-2002,0,0,2,5,Loss,Loss
230,2002-06-13,Group C,Turkey,TUR,China PR,CHN,Korea/Japan-2002,0,0,3,0,Win,Win
231,2002-06-13,Group G,Ecuador,ECU,Croatia,CRO,Korea/Japan-2002,0,0,1,0,Win,Win
232,2002-06-13,Group G,Mexico,MEX,Italy,ITA,Korea/Japan-2002,0,0,1,1,Draw,Draw
233,2002-06-14,Group H,Tunisia,TUN,Japan,JPN,Korea/Japan-2002,0,0,0,2,Loss,Loss
234,2002-06-14,Group D,Portugal,POR,Korea Republic,KOR,Korea/Japan-2002,0,0,0,1,Loss,Loss
235,2002-06-14,Group D,Poland,POL,USA,USA,Korea/Japan-2002,0,0,3,1,Win,Win
236,2002-06-14,Group H,Belgium,BEL,Russia,RUS,Korea/Japan-2002,0,0,3,2,Win,Win
237,2002-06-15,Round of 16,Denmark,DEN,England,ENG,Korea/Japan-2002,0,0,0,3,Loss,Loss
238,2002-06-15,Round of 16,Germany,GER,Paraguay,PAR,Korea/Japan-2002,0,0,1,0,Win,Win
